ell,D_ell,model,sigma_eff,z_whitened
143,4754.61564,3913.010066721245,599.3012926982449,1.4043112930552497
144,3902.32418,3947.281032966778,565.5243675167538,-0.07949587241339562
145,4271.07492,3981.55703729598,582.1617058404523,0.4973152301147156
146,4241.71328,4015.8255856109568,582.7894701584283,0.3875974188889116
147,4697.06435,4050.0739822885766,603.8591844898709,1.0714258958534986
148,3741.89378,4084.2893426736314,566.923264010053,-0.6039539817994838
149,3383.04414,4118.4586056985145,555.9651962162073,-1.3227706890711945
150,4547.83776,4152.568546615011,602.5996198265149,0.6559400311251199
151,4223.68455,4186.605789823614,590.9046577513877,0.06274914182853863
152,4566.11761,4220.556821785747,606.7252319475422,0.5695507126101037
153,4566.77496,4254.408004004224,608.3973599653136,0.5134258899703066
154,3939.42599,4288.14558605743,584.8885047324073,-0.5962155064356622
155,5325.15156,4321.755718672533,645.1810050598077,1.5552160300107623
156,4314.59342,4355.224466823265,602.812310316715,-0.06740248353905987
157,4626.32873,4388.537822837977,617.2132507952072,0.38526539547823635
158,5524.17122,4421.681719503606,658.8380027847732,1.6733848014783566
159,4670.96912,4454.642043151556,622.0728250072162,0.3477520125492286
160,5308.57073,4487.404646711581,651.5871408200126,1.2602552012536556
161,4692.45703,4519.955362720023,625.8414928644877,0.2756315604617926
162,4615.96839,4552.280016268866,624.0187064123868,0.10206164186533982
163,4339.31266,4584.36443788255,614.1406183072542,-0.39901574749767055
164,4708.25249,4616.194476309447,630.5594150586847,0.14599419419022577
165,4778.19802,4647.756011215481,634.7970644911192,0.2054861562554439
166,5364.62263,4679.034965767378,661.8298107588832,1.0358972247661329
167,5616.59426,4710.0173190936675,674.6292173203299,1.3438151174467563
168,5502.45544,4740.689118611478,670.451850429666,1.1361984024659426
169,4514.09669,4771.036492207883,628.7101114242986,-0.4086776998477152
170,4220.91923,4801.045660264589,618.3178424386003,-0.9382333655076367
171,4604.65923,4830.702947515261,634.617202898264,-0.3561890797837358
172,5206.59664,4859.994794725145,661.2961159561245,0.5241250279743835
173,5136.67061,4888.9077701828055,659.1959453401766,0.3758561343840444
174,4894.27361,4917.4285809945,649.7000802267869,-0.03563947688973296
175,5076.1802,4945.544084171642,658.422724879595,0.1984076656106414
176,5069.03673,4973.241297502636,658.986802253938,0.14536775572699412
177,4661.52742,5000.507410200365,642.7084643686154,-0.5274241884045696
178,4525.06263,5027.329793317167,638.0281087931423,-0.7872179240930728
179,6345.69516,5053.696009919585,720.7046089113776,1.7926888965397025
180,5197.70944,5079.593825015287,667.7083657314527,0.17689701229865695
181,3909.81996,5105.011215225259,617.059544646029,-1.9369139746649087
182,4351.46614,5129.936378194518,634.1540059503244,-1.227572846485334
183,4643.01895,5154.357741735051,646.3053373342975,-0.791172163058533
184,5545.49866,5178.26397269516,685.6905448917612,0.5355691281448388
185,6396.22412,5201.64398554956,726.650557748544,1.6439540597776874
186,5769.26048,5224.486950705166,696.9647879505962,0.7816370908733046
187,5157.53951,5246.782302517823,669.888013014761,-0.13322046488963982
188,6336.46067,5268.519747015458,724.9159129915653,1.4731928267064656
189,6286.04526,5289.689269323823,722.7663538443331,1.3785312298734484
190,5955.38562,5310.281140790971,707.140876702123,0.9122715154264424
191,5394.03967,5330.285925807347,681.5881534006393,0.09353704854547075
192,6344.73772,5349.694488318497,726.3914081558819,1.3698444399385974
193,5896.6494,5368.497998027825,705.0136931475733,0.7491363743790758
194,5505.00632,5386.687936287263,687.1013343546571,0.17219932169665306
195,4030.55156,5404.2561016739155,627.0267824499444,-2.190822752907813
196,5565.00753,5421.194615251227,689.9698989570186,0.20843360698222474
197,5594.38968,5437.495925513509,691.331251017033,0.2269443978638044
198,5633.5474,5453.152813012965,693.0862822897694,0.2602772433917752
199,5311.56809,5468.158394668759,678.5607290851943,-0.23076829818882558
200,5238.38076,5482.506127757923,675.2422170754946,-0.3615374773444138
201,4881.84835,5496.189813588276,659.8770798071448,-0.9309937901886552
202,6138.44518,5509.203600853827,716.2894396589943,0.8784739021780598
203,5670.94312,5521.541988673366,694.0267211443139,0.21526711692065773
204,5331.8768,5533.199829313444,678.4563383155554,-0.29673689807848314
205,6151.69986,5544.172330596975,716.1118640464526,0.8483695912676784
206,5334.49284,5554.455057999202,677.8756840319795,-0.3244875471721819
207,5044.16844,5564.043936432904,664.8341128645714,-0.7819627278042572
208,5719.21608,5572.935251725167,694.4520588242714,0.21064208308704677
209,4626.96958,5581.1256517879665,646.5535547278587,-1.4757572127023275
210,5424.5295,5588.612147485626,680.0054340263297,-0.24129608275935255
211,5517.08988,5595.392113201817,683.6036178396387,-0.1145433276805516
212,5880.24579,5601.463287109541,699.829736765953,0.39835761220831545
213,5881.85406,5606.823771147452,699.2705561300261,0.3933102665935886
214,5256.76876,5611.472030706352,669.9813785442893,-0.5294225810828322
215,6647.2958,5615.406894029559,735.511867694741,1.4029534413966858
216,5806.27699,5618.627551331495,693.5481441270055,0.27056440170380186
217,5602.93537,5621.133553638742,683.2646196614292,-0.026634166492858574
218,6273.61975,5622.924811358079,714.4933157391978,0.9107082240072848
219,5675.14634,5624.00159257623,684.8820411399782,0.07467672438693297
220,6373.42096,5624.364521096313,717.7199999753886,1.0436610919709262
221,5887.18514,5624.0145742159175,693.0190932232331,0.3797450436178826
222,5767.12669,5622.953080252229,686.3230683800834,0.21006668198995843
223,5559.31808,5621.181715819425,675.5693190668248,-0.09157259525177756
224,6111.00352,5618.70250286408,700.8179249917536,0.7024663604911546
225,5114.46349,5615.517805464057,653.2396499922925,-0.7670298572200404
226,5939.99591,5611.630326396889,690.2877214664478,0.4756937917214146
227,6153.2805,5607.043103483554,699.584612406375,0.780802474539202
228,4740.09279,5601.7595057135895,633.3861453947085,-1.3604129518441286
229,5350.55601,5595.783229157913,658.9033058646739,-0.3721748198487232
230,5652.12921,5589.118292675462,671.6311404647375,0.09381774240089227
231,5768.51432,5581.769033420107,675.8716320108923,0.27630289205108055
232,6651.84383,5573.740102154233,718.8224081032697,1.4998193095990424
233,6413.82301,5565.036458375585,705.2400347750287,1.2035427794384606
234,4514.86726,5555.663365263928,615.4192165964172,-1.6911985800834477
235,6009.30018,5545.6263844541445,682.1196941259412,0.6797543005117319
236,6089.28179,5534.931370642592,684.6703941270755,0.8096602746554864
237,5555.74256,5523.584466033376,657.1308220824031,0.04893712619462421
238,5937.97206,5511.592094631398,674.1679216577454,0.6324536538614219
239,5480.44035,5498.960956388966,650.4247801515057,-0.02847463220059405
240,6068.25199,5485.698021212897,677.5991388231455,0.8597324515478021
241,5835.71997,5471.810522838872,664.4123270041567,0.5477162785374559
242,5414.1555,5457.305952580066,642.3452303307272,-0.06717641938097589
243,5696.73876,5442.192052956803,654.2820633493025,0.3890473563346053
244,5188.59656,5426.476811214263,628.2963516216387,-0.3786115431042879
245,5844.81918,5410.16845273499,658.2125029621707,0.660350153345524
246,5748.01553,5393.275434353145,651.6679356828779,0.5443571429905096
247,5625.47522,5375.806437577308,643.8470382252871,0.3877765487760633
248,6016.08565,5357.770361728681,661.6689182457515,0.9949315588477037
249,4457.66955,5339.176317001413,586.2244623288466,-1.5037017791777614
250,5089.0009,5320.033617451824,612.5374417048722,-0.37717321705068696
251,5269.95317,5300.351773923206,619.1733197679703,-0.049095468025976134
252,5717.75582,5280.140486912834,639.2604301695684,0.6845650261366655
253,4865.30546,5259.409639387843,596.2367225785113,-0.6609860890209562
254,4412.53015,5238.169289556332,573.9671884995428,-1.43847794107309
255,5519.92593,5216.429663600341,623.5900681482162,0.4866919502116312
256,6086.25812,5194.201148376915,650.6783993083448,1.3709644773382987
257,5269.32855,5171.49428409371,607.2321571625736,0.16111509371216814
258,5424.15464,5148.319756965238,612.8322471605738,0.45009851278679086
259,4562.46907,5124.688391855973,569.7952495104405,-0.9867041228213531
260,5696.69305,5100.61114491629,622.5932278282334,0.9574179069743469
261,5223.34736,5076.099096217299,596.6917709961359,0.24677441677615192
262,5518.67427,5051.16344239031,609.4025687698675,0.7671625483190896
263,6107.40606,5025.815489276748,638.2412307127549,1.6946422742313085
264,4829.2842,5000.06664459417,571.1388306843359,-0.2990208954791936
265,4149.71953,4973.928410623847,537.9137616846791,-1.5322323750233258
266,5580.42492,4947.4123769254575,604.2537457910053,1.0475939081616956
267,5070.75541,4920.530213084055,576.2424530027544,0.2606978991796481
268,5557.24723,4893.293661494635,598.8372715340985,1.1087378826712841
269,4786.1833,4865.714530189269,557.8632174362907,-0.1425640330881857
270,4254.95805,4837.804685711783,530.7219600611896,-1.0982146577175436
271,5563.25253,4809.57604604483,592.7814475728086,1.2714238730668088
272,5846.05478,4781.0405735939985,605.8192012860802,1.7579736729128208
273,4865.25037,4752.210268233486,552.6306898877248,0.20454908465087115
274,5336.64475,4723.0971604178785,574.4040040983914,1.0681464356175092
275,4635.3016,4693.71330436421,536.7427498940755,-0.1088262568534691
276,3997.33187,4664.070771308439,504.59383056718127,-1.3213377986785952
277,5572.53122,4634.181642840539,580.4458206773746,1.6166014875676353
278,4981.93632,4604.058004321845,547.1512455484016,0.690628631027629
279,5092.25684,4573.711938388473,550.5934285530303,0.9417927543637284
280,4343.63711,4543.155518544579,510.8409974394184,-0.39056851259914827
281,4699.9279,4512.400802848568,525.9593157546941,0.3565429711656519
282,5000.44551,4481.459827695886,539.0697743719759,0.9627430566084687
283,5500.61764,4450.344601701402,563.6648475511138,1.8632934852361152
284,4444.54429,4419.067099684368,506.19223868091893,0.05033105679775396
285,3732.57584,4387.63925675897,470.20046684692073,-1.3931577336613612
286,4604.39113,4356.072962533093,509.5051901273957,0.487371222665696
287,4445.65095,4324.3800554179115,499.15326292788274,0.24295322416756351
288,4175.64857,4292.572317050823,483.4419137845337,-0.24185686784066138
289,4940.82028,4260.661466833912,520.2175207701462,1.307450798964172
290,4571.90745,4228.659156590218,498.575420301571,0.688458113723622
291,3520.57695,4196.576965339729,445.4553992888526,-1.5175481460521738
292,4685.13605,4164.426394197091,499.91167334662936,1.0416033142755972
293,4497.25303,4132.218861392618,487.80840833901533,0.7483146300210789
294,4109.20669,4099.965697418376,465.76717278200283,0.019840369011898635
295,4491.17517,4067.67814030066,482.91615947336913,0.8769576693419694
296,4716.76644,4035.367331000239,492.6488131119544,1.3831335646492533
297,3808.92183,4003.04430894157,443.8467486135099,-0.4373637512226239
298,4040.43838,3970.7200076720314,452.85343358365094,0.15395350273984454
299,3972.4318,3938.405250652045,447.0892133474982,0.07610684474623558
300,4548.37242,3906.1107471769246,474.7570346408548,1.352821814023113
301,3860.90373,3873.8470884311073,436.80697864179075,-0.029631757421443736
302,4057.36235,3841.624743675286,444.40793224275797,0.4854494950978218
303,3231.77184,3809.454056566809,402.0197043594604,-1.4369500059387201
304,3903.71114,3777.3452416137366,431.9557237622865,0.29254363684692114
305,4207.52406,3745.308380762583,445.4990627679206,1.0375233482325068
306,3617.65988,3713.3534201198822,412.97841387793255,-0.2317155979686798
307,3458.40002,3681.4901668074335,402.84530081474946,-0.5537861465834069
308,4200.89864,3649.728285951129,438.59996586023766,1.2566584517804205
309,3843.54001,3618.077297802928,417.5192307896554,0.540005574762757
310,3630.76979,3586.546574995687,404.3835887321437,0.10935956907392068
311,3821.22782,3555.145339930241,411.9274236536459,0.6459450495179581
312,3467.93652,3523.882662294178,391.66152274268234,-0.1428430903868331
313,3686.50999,3492.7674567115123,400.52736608854366,0.48371859126763767
314,3052.8968,3461.8084805224776,366.9548429538887,-1.1143378766467489
315,3733.19489,3431.0143316925282,398.6289857959472,0.7580496378207533
316,3967.5453,3400.3934468494463,409.10009354648133,1.3863400720198442
317,3046.88024,3369.9540994475947,359.6818250260547,-0.8982212526979695
318,3140.04526,3339.7043980579356,361.9040842948331,-0.551690756535588
319,3712.61812,3309.652284782723,389.14338160801054,1.0355202073645695
320,3707.05897,3279.8055337933556,386.8022092509744,1.1045785830282668
321,3089.8386,3250.171749990045,352.78835051040653,-0.45447404869825925
322,3664.72037,3220.758367781724,380.487175154976,1.1668251421022175
323,3293.24602,3191.57264998464,358.7857727923365,0.28338183318714827
324,3120.10628,3162.6216868379543,347.8558767909785,-0.12222132691896756
325,3368.5046,3133.9123951346282,358.6352838775718,0.6541247206046109
326,3681.3036,3105.4515174657877,373.62935692791524,1.541238855717947
327,2951.13658,3077.2456215767384,333.1089554041688,-0.3785819610395268
328,3406.40543,3049.301099832719,354.78373572402967,1.0065408704221328
329,3410.88839,3021.624168792395,353.12780267441593,1.1023324084354444
330,2998.25385,2994.220868887098,329.40046419035195,0.012243398389905364
331,3121.22557,2967.097064203786,333.8354684543312,0.461690025058853
332,2958.80104,2940.258442369517,323.45833954769637,0.05732607684937588
333,2712.53191,2913.710514535364,309.0777312207323,-0.6508997064938632
334,2787.07666,2887.458615457579,310.8394443105803,-0.3229382798576896
335,2787.27007,2861.507903673717,308.93128228525217,-0.24030532979554126
336,3050.98763,2835.863361771476,320.83688227330447,0.6705097827414708
337,2762.00082,2810.5297967480537,303.8902424686225,-0.15969244801620863
338,2952.13007,2785.511840457518,312.00570939978013,0.5340230147166652
339,2726.86299,2760.813950144028,298.43494683200214,-0.11376335279909328
340,2839.96536,2736.4404090584326,302.55845234676224,0.3421651259073656
341,2807.38159,2712.395327155874,299.1107149112688,0.3175622206389487
342,2871.11187,2688.6826418720284,300.8111079585028,0.6064577513977245
343,2485.55261,2665.306118975549,279.06681587524145,-0.6441235530343699
344,2631.73162,2642.2693534942773,284.8115304437254,-0.0369989707855574
345,2361.34905,2619.57577071278,269.404070281252,-0.9585108363180894
346,2518.25614,2597.2286272388333,275.6136548317988,-0.28653328982204657
347,2346.8393,2575.2310121363344,265.2776356601639,-0.8609535122248954
348,2467.30326,2553.585848122225,269.7349167558481,-0.3198791953224353
349,2407.92156,2532.2958928250446,265.09067313675195,-0.46917657024049103
350,2408.15751,2511.3637401025994,263.52614129750407,-0.39163564416968494
351,2851.61008,2490.791821416344,285.9265605244783,1.2619263419313083
352,2362.27377,2470.5824072600744,258.09279479504664,-0.41964998420852206
353,2789.42702,2450.737608640583,279.6788160273012,1.210994154546033
354,2664.29783,2431.2593786077014,271.3526692090467,0.8588028710812816
355,2319.66339,2412.1495138316254,251.47859849428067,-0.3677693624244079
356,2094.74693,2393.4096562249038,238.6365332570739,-1.2515381536454278
357,2353.40879,2375.041294606937,250.45925608394973,-0.08637135215192862
358,2279.89392,2357.0457664086066,245.24151965899443,-0.31459536915235803
359,2069.29854,2339.424259414748,233.1091687141525,-1.1587949152956183
360,2320.21104,2322.177813542214,244.7494200625285,-0.008035865995970668
361,2450.16594,2305.3073226512856,250.54877987256307,0.5781653274160579
362,2227.72597,2288.813536388275,237.32855832831794,-0.25739661007744097
363,2152.10341,2272.6970620570623,232.12606072624442,-0.5195179364168123
364,2708.00174,2256.9583665175323,261.75917983302736,1.7231234211926485
365,1951.02224,2241.5977781087377,219.39627438666534,-1.3244324176472821
366,1838.46291,2226.6154885947326,212.61988921033358,-1.8255704112927735
367,2120.48085,2212.011555131065,225.7778818105193,-0.4054015583682414
368,2010.82559,2197.7859022499842,218.9329170185674,-0.853961637180984
369,2232.04619,2183.9383238622745,229.63309320693526,0.2094988377584272
370,1977.26432,2170.4684852739933,215.0216444170195,-0.8985335676220917
371,2222.59429,2157.3759252160917,227.114125000665,0.2871612004921198
372,1969.11982,2144.6600578852076,212.53201980109304,-0.8259472527927527
373,2134.85635,2132.320174993785,220.39982882816554,0.01150715506314001
